year,month,originCountry,dollarRate,consumerPriceIndex,totalCount
2019,November,China,180.85,99.68974,16312
2019,November,United Kingdom,180.85,108.5,16038
2019,November,Russia,180.85,181.5548,14537
2019,November,Australia,180.85,116.2,7067
2019,November,Maldives,180.85,97.98583349,5850
2019,November,France,180.85,104.52,4857
2019,November,Ukraine,180.85,274.3,4770
2019,November,United States,180.85,117.9552912,4514
2019,December,India,181.3,150.4,48442
2019,December,United Kingdom,181.3,108.5,20984
2019,December,Russia,181.3,182.2084,17559
2019,December,China,181.3,99.68974,16648
2019,December,Australia,181.3,116.2,14467
2019,December,Germany,181.3,100.3692,12349
2019,December,United States,181.3,117.8479791,12302
2019,December,Maldives,181.3,98.45511053,9033
2019,December,France,181.3,104.98,6824
2019,December,Canada,181.3,136.4,6512
2020,January,India,181.35,150.2,41448
2020,January,China,181.35,101.1241,22363
2020,January,United Kingdom,181.35,108.3,21138
2020,January,Russia,181.35,182.9372,19616
2020,January,Germany,181.35,99.8,11494
2020,January,France,181.35,104.54,9352
2020,January,Ukraine,181.35,274.3,8549
2020,January,Australia,181.35,116.6,8115
2020,January,United States,181.35,118.3052021,7494
2020,January,Poland,181.35,132.8,5577
2020,February,India,181.85,149.1,35309
2020,February,United Kingdom,181.85,108.6,26348
2020,February,Russia,181.85,183.5409,20948
2020,February,Germany,181.85,100.1,16405
2020,February,France,181.85,104.53,11430
2020,February,Australia,181.85,116.6,9578
2020,February,United States,181.85,118.6294315,7803
2020,February,Ukraine,181.85,273.5,6072
2020,February,Canada,181.85,137.4,5482
2020,February,Poland,181.85,133.7,4693
2020,March,India,189.0,148.6,12600
2020,March,Russia,189.0,184.5504,8833
2020,March,United Kingdom,189.0,108.6,7969
2020,March,Germany,189.0,100.3,6608
2020,March,France,189.0,104.59,4056
2020,March,Australia,189.0,116.6,2590
2020,March,Maldives,189.0,97.22341598,2183
2020,March,Ukraine,189.0,275.7,2155
2020,March,China,189.0,100.6759,1688
2020,March,Poland,189.0,134.0,1638
2018,January,India,153.9,136.9,37936
2018,January,China,153.9,94.3108,24275
2018,January,United Kingdom,153.9,104.5,22940
2018,January,Germany,153.9,96.76426,15298
2018,January,France,153.9,101.75,12221
2018,January,Russia,153.9,170.1047,11569
2018,January,Australia,153.9,112.6,9452
2018,January,United States,153.9,113.6715194,7501
2018,January,Ukraine,153.9,243.3,6636
2018,January,Maldives,153.9,98.37446639,6124
2018,February,China,154.95,95.47623,35929
2018,February,India,154.95,136.4,32914
2018,February,United Kingdom,154.95,104.9,23817
2018,February,Germany,154.95,97.04886,17066
2018,February,France,154.95,101.72,16871
2018,February,Russia,154.95,170.4619,11043
2018,February,United States,154.95,114.1869845,5984
2018,February,Australia,154.95,112.6,5693
2018,February,Japan,154.95,99.5,5263
2018,February,Ukraine,154.95,245.5,5138
2018,March,India,155.6,136.5,30583
2018,March,United Kingdom,155.6,105.1,30366
2018,March,Germany,155.6,97.61806,24423
2018,March,China,155.6,94.40044,21101
2018,March,France,155.6,102.75,14818
2018,March,United States,155.6,114.4451757,9701
2018,March,Russia,155.6,170.9562,9089
2018,March,Australia,155.6,112.6,8932
2018,March,Maldives,155.6,98.43439572,7239
2018,March,Canada,155.6,132.9,5113
2018,April,India,157.6,137.1,29860
2018,April,United Kingdom,157.6,105.5,26063
2018,April,China,157.6,94.22115,17462
2018,April,Australia,157.6,113.0,14023
2018,April,Germany,157.6,97.80779,10803
2018,April,United States,157.6,114.9001057,8679
2018,April,France,157.6,102.92,7411
2018,April,Maldives,157.6,96.77385347,5696
2018,April,Canada,157.6,133.3,4972
2018,April,Russia,157.6,171.6059,4027
2018,May,India,158.15,137.8,42073
2018,May,China,158.15,94.04185,17103
2018,May,United Kingdom,158.15,105.9,9337
2018,May,Germany,158.15,98.56673,6906
2018,May,Australia,158.15,113.0,4873
2018,May,Maldives,158.15,96.43808138,4343
2018,May,Japan,158.15,99.3,4229
2018,May,United States,158.15,115.3779657,4123
2018,May,France,158.15,103.36,3721
2018,May,Canada,158.15,133.4,3297
2018,June,India,158.2,138.5,32971
2018,June,China,158.2,94.04185,20424
2018,June,United Kingdom,158.2,105.9,12104
2018,June,Australia,158.2,113.0,9997
